44 	Avg Reward:  0.143798828125 	 Loss:  0.4730896055698395 	 Wins:  0.40899795501022496 	 Epsilon:  0.6561000000000001
45 	Avg Reward:  0.149658203125 	 Loss:  0.5082442760467529 	 Wins:  0.4158004158004158 	 Epsilon:  0.6561000000000001
46 	Avg Reward:  0.132080078125 	 Loss:  0.4749169647693634 	 Wins:  0.39603960396039606 	 Epsilon:  0.6561000000000001
47 	Avg Reward:  0.13330078125 	 Loss:  0.4760642647743225 	 Wins:  0.199203187250996 	 Epsilon:  0.6561000000000001
48 	Avg Reward:  0.141357421875 	 Loss:  0.4736725986003876 	 Wins:  0.20366598778004075 	 Epsilon:  0.6561000000000001
49 	Avg Reward:  0.126708984375 	 Loss:  0.48735129833221436 	 Wins:  0.19569471624266144 	 Epsilon:  0.6561000000000001
50 	Avg Reward:  0.134521484375 	 Loss:  0.4725474715232849 	 Wins:  1.183431952662722 	 Epsilon:  0.6561000000000001
51 	Avg Reward:  0.130126953125 	 Loss:  0.4864068627357483 	 Wins:  0.0 	 Epsilon:  0.6561000000000001
52 	Avg Reward:  0.1337890625 	 Loss:  0.48793143033981323 	 Wins:  0.0 	 Epsilon:  0.6561000000000001
53 	Avg Reward:  0.1240234375 	 Loss:  0.48730549216270447 	 Wins:  0.3875968992248062 	 Epsilon:  0.6561000000000001
54 	Avg Reward:  0.138427734375 	 Loss:  0.4832697808742523 	 Wins:  0.20202020202020202 	 Epsilon:  0.6561000000000001
55 	Avg Reward:  0.139892578125 	 Loss:  0.49680960178375244 	 Wins:  0.2028397565922921 	 Epsilon:  0.6561000000000001
56 	Avg Reward:  0.140625 	 Loss:  0.4822325110435486 	 Wins:  0.2032520325203252 	 Epsilon:  0.6561000000000001
57 	Avg Reward:  0.13916015625 	 Loss:  0.4799967408180237 	 Wins:  0.20242914979757085 	 Epsilon:  0.6561000000000001
58 	Avg Reward:  0.14208984375 	 Loss:  0.47988250851631165 	 Wins:  0.20408163265306123 	 Epsilon:  0.6561000000000001
